start,end,start_frame,end_frame,speaker
471.38346875,471.58596875,11313,11318,SPEAKER_02
473.50971875000005,474.74159375000005,11364,11393,SPEAKER_02
476.14221875000004,480.10784375000003,11427,11522,SPEAKER_02
481.10346875000005,484.42784375,11546,11626,SPEAKER_02
484.57971875000004,492.10596875000005,11629,11810,SPEAKER_02
490.65471875000003,491.70096875,11775,11800,SPEAKER_00
492.57846875,499.85159375,11821,11996,SPEAKER_02
500.39159375,503.56409375000004,12009,12085,SPEAKER_02
504.01971875000004,505.70721875000004,12096,12136,SPEAKER_02
506.23034375000003,507.98534375,12149,12191,SPEAKER_02
508.49159375000005,516.2709687500001,12203,12390,SPEAKER_02
516.7265937500001,546.8484687499999,12401,13124,SPEAKER_02
523.83096875,525.68721875,12571,12616,SPEAKER_00
546.29159375,546.8315937500001,13110,13123,SPEAKER_01
546.8484687499999,547.45596875,13124,13138,SPEAKER_01
546.9497187500001,548.3503437500001,13126,13160,SPEAKER_02
548.6709687499999,550.10534375,13168,13202,SPEAKER_01
549.68346875,551.0672187499999,13192,13225,SPEAKER_02
550.1897187500001,550.2065937500001,13204,13204,SPEAKER_01
552.48471875,554.5772187499999,13259,13309,SPEAKER_02
555.48846875,558.72846875,13331,13409,SPEAKER_02
556.16346875,559.55534375,13347,13429,SPEAKER_01
562.10346875,562.8459687500001,13490,13508,SPEAKER_01
562.8797187499999,563.03159375,13509,13512,SPEAKER_01
564.2297187500001,566.13659375,13541,13587,SPEAKER_01
567.28409375,569.0222187500001,13614,13656,SPEAKER_01
569.35971875,570.5915937500001,13664,13694,SPEAKER_01
571.8234687500001,572.34659375,13723,13736,SPEAKER_01
576.0590937500001,581.2903437500001,13825,13950,SPEAKER_01
581.61096875,587.4834687499999,13958,14099,SPEAKER_01
588.12471875,588.6984687500001,14114,14128,SPEAKER_01
590.9765937500001,602.2322187500001,14183,14453,SPEAKER_01
599.78534375,600.15659375,14394,14403,SPEAKER_00
602.6372187500001,605.8772187500001,14463,14541,SPEAKER_01
606.38346875,607.9697187500001,14553,14591,SPEAKER_01
607.9697187500001,609.89346875,14591,14637,SPEAKER_02
610.16346875,620.03534375,14643,14880,SPEAKER_02
614.36534375,614.4497187500001,14744,14746,SPEAKER_01
614.4834687499999,614.9897187500001,14747,14759,SPEAKER_01
620.03534375,620.60909375,14880,14894,SPEAKER_01
621.03096875,621.0478437500001,14904,14905,SPEAKER_02
621.0478437500001,627.1397187499999,14905,15051,SPEAKER_01
622.1615937500001,622.85346875,14931,14948,SPEAKER_02
625.1484687500001,626.92034375,15003,15046,SPEAKER_02
627.71346875,628.84409375,15065,15092,SPEAKER_01
629.0803437500001,629.7890937500001,15097,15114,SPEAKER_01
630.27846875,630.29534375,15126,15127,SPEAKER_01
630.29534375,635.5772187499999,15127,15253,SPEAKER_02
636.1003437500001,642.0234687500001,15266,15408,SPEAKER_02
642.0234687500001,642.4622187500001,15408,15419,SPEAKER_01
643.35659375,646.7990937500001,15440,15523,SPEAKER_01
647.2040937500001,649.4484687500001,15532,15586,SPEAKER_01
650.3090937500001,655.2703437499999,15607,15726,SPEAKER_01
659.08409375,659.10096875,15818,15818,SPEAKER_01
659.10096875,664.28159375,15818,15942,SPEAKER_02
665.31096875,666.30659375,15967,15991,SPEAKER_02
666.98159375,668.21346875,16007,16037,SPEAKER_02
668.4665937500001,670.5928437500002,16043,16094,SPEAKER_02
670.9809687500001,671.5209687500001,16103,16116,SPEAKER_02
672.04409375,673.9172187500001,16129,16174,SPEAKER_02
673.3772187500001,673.59659375,16161,16166,SPEAKER_01
674.3559687500001,683.4853437500001,16184,16403,SPEAKER_02
683.97471875,699.43221875,16415,16786,SPEAKER_02
700.05659375,700.61346875,16801,16814,SPEAKER_02
701.27159375,704.7309687500001,16830,16913,SPEAKER_02
704.7309687500001,704.93346875,16913,16918,SPEAKER_01
