start,end,speaker
0.03096875,10.965968750000002,SPEAKER_01
16.21409375,33.73034375,SPEAKER_01
34.27034375,36.27846875,SPEAKER_00
36.58221875,40.26096875,SPEAKER_01
40.446593750000005,52.07346875,SPEAKER_01
52.64721875,73.84221875,SPEAKER_00
74.90534375,85.73909375000001,SPEAKER_00
86.73471875,105.01034375,SPEAKER_01
97.38284375,97.60221875,SPEAKER_00
105.39846875,110.81534375000001,SPEAKER_01
111.81096875,156.29346875000002,SPEAKER_00
156.64784375000002,169.54034375,SPEAKER_01
167.05971875,167.53221875,SPEAKER_00
169.89471875,171.51471875000001,SPEAKER_01
171.86909375000002,183.61409375000002,SPEAKER_01
184.12034375000002,229.93596875,SPEAKER_00
199.74659375000002,200.10096875000002,SPEAKER_01
230.96534375000002,268.61346875000004,SPEAKER_01
256.32846875,256.53096875,SPEAKER_00
268.93409375000005,299.00534375,SPEAKER_00
299.07284375,299.52846875,SPEAKER_01
300.15284375000005,324.82409375000003,SPEAKER_01
314.63159375000004,315.15471875000003,SPEAKER_00
325.48221875,376.83284375000005,SPEAKER_00
377.55846875000003,383.54909375,SPEAKER_01
384.03846875000005,433.85346875000005,SPEAKER_00
408.06846875,408.55784375,SPEAKER_01
434.05596875000003,448.56846875,SPEAKER_01
445.86846875000003,446.34096875,SPEAKER_00
448.61909375000005,457.78221875,SPEAKER_00
451.23471875,451.75784375,SPEAKER_01
458.22096875000005,465.73034375000003,SPEAKER_01
466.69221875000005,506.88846875,SPEAKER_00
474.57284375,474.74159375000005,SPEAKER_01
474.77534375000005,474.87659375000004,SPEAKER_01
505.72409375,506.53409375,SPEAKER_01
506.88846875,507.32721875000004,SPEAKER_01
507.29346875000005,511.32659375000003,SPEAKER_00
511.51221875000005,517.90784375,SPEAKER_00
516.23721875,516.52409375,SPEAKER_01
517.75596875,529.83846875,SPEAKER_01
530.02409375,531.94784375,SPEAKER_01
530.0578437500001,530.44596875,SPEAKER_00
532.65659375,540.87471875,SPEAKER_01
540.97596875,541.5834687500001,SPEAKER_01
541.00971875,544.77284375,SPEAKER_00
543.22034375,543.91221875,SPEAKER_01
544.62096875,554.03721875,SPEAKER_01
554.4422187499999,576.58221875,SPEAKER_00
575.4853437500001,575.87346875,SPEAKER_01
577.24034375,580.4128437500001,SPEAKER_00
577.42596875,577.69596875,SPEAKER_01
579.68721875,580.5815937500001,SPEAKER_01
580.5984687499999,580.61534375,SPEAKER_00
580.63221875,582.1172187500001,SPEAKER_00
581.59409375,583.83846875,SPEAKER_01
584.0747187500001,586.53846875,SPEAKER_01
585.69471875,586.2009687500001,SPEAKER_00
586.7578437500001,595.9040937500001,SPEAKER_00
586.80846875,587.3315937500001,SPEAKER_01
596.1909687500001,608.61096875,SPEAKER_01
609.0834687500001,690.3872187500001,SPEAKER_00
651.0009687500001,651.82784375,SPEAKER_01
691.28159375,701.57534375,SPEAKER_01
702.0647187500001,704.39346875,SPEAKER_00
704.39346875,705.82784375,SPEAKER_01
705.10221875,705.1865937500002,SPEAKER_00
706.9922187500001,728.72721875,SPEAKER_00
726.02721875,726.6684687500001,SPEAKER_01
729.16596875,748.67346875,SPEAKER_00
748.84221875,750.81659375,SPEAKER_01
750.96846875,782.4740937500001,SPEAKER_01
755.6765937499999,756.25034375,SPEAKER_00
770.32409375,770.37471875,SPEAKER_00
770.3915937500001,770.7122187500001,SPEAKER_00
780.63471875,780.73596875,SPEAKER_00
782.87909375,785.6128437500001,SPEAKER_01
786.06846875,810.87471875,SPEAKER_00
811.1615937500001,814.4015937500001,SPEAKER_00
812.14034375,812.5790937500001,SPEAKER_01
814.5872187500001,817.20284375,SPEAKER_01
817.4053437500002,822.2990937500001,SPEAKER_00
820.08846875,820.54409375,SPEAKER_01
822.95721875,886.4240937500001,SPEAKER_00
839.81534375,840.33846875,SPEAKER_01
870.86534375,871.33784375,SPEAKER_01
882.4584687500001,882.84659375,SPEAKER_01
886.64346875,897.2409687500001,SPEAKER_00
887.50409375,888.06096875,SPEAKER_01
897.4265937500002,918.1997187500001,SPEAKER_01
915.5165937500001,916.15784375,SPEAKER_00
916.9678437500002,917.4740937500001,SPEAKER_00
917.9128437500001,924.88221875,SPEAKER_00
920.7478437500001,921.1865937500002,SPEAKER_01
925.0847187500001,952.89471875,SPEAKER_01
953.56971875,954.44721875,SPEAKER_00
955.10534375,957.94034375,SPEAKER_01
