start_time,end_time,speaker
0.16,2.56,SPEAKER_00
3.28,5.36,SPEAKER_00
6.48,6.56,SPEAKER_01
6.8,6.96,SPEAKER_01
10.16,11.28,SPEAKER_01
12.4,14.08,SPEAKER_01
27.2,29.44,SPEAKER_01
29.6,30.16,SPEAKER_01
31.92,34.88,SPEAKER_00
39.36,44.24,SPEAKER_00
44.96,48.16,SPEAKER_00
48.4,48.48,SPEAKER_00
48.64,51.36,SPEAKER_00
51.52,51.6,SPEAKER_00
51.68,56.0,SPEAKER_00
57.04,63.44,SPEAKER_00
64.24,74.48,SPEAKER_00
74.88,76.08,SPEAKER_00
76.16,79.2,SPEAKER_00
79.36,84.08,SPEAKER_00
84.24,85.04,SPEAKER_01
84.72,85.68,SPEAKER_00
86.0,86.32,SPEAKER_00
87.76,92.0,SPEAKER_00
93.76,94.0,SPEAKER_01
94.8,96.72,SPEAKER_01
95.6,96.56,SPEAKER_00
96.96,97.84,SPEAKER_00
97.52,98.4,SPEAKER_01
98.48,99.52,SPEAKER_00
99.44,102.08,SPEAKER_01
102.32,103.6,SPEAKER_00
103.12,104.0,SPEAKER_01
104.08,105.04,SPEAKER_01
105.2,110.64,SPEAKER_00
111.04,112.88,SPEAKER_01
113.44,114.16,SPEAKER_01
114.32,115.04,SPEAKER_00
115.2,116.72,SPEAKER_01
115.36,115.6,SPEAKER_00
117.28,119.36,SPEAKER_01
120.4,121.36,SPEAKER_01
121.76,125.6,SPEAKER_01
124.56,124.88,SPEAKER_00
126.8,129.44,SPEAKER_01
130.08,134.48,SPEAKER_01
132.96,133.36,SPEAKER_00
135.44,137.04,SPEAKER_01
137.84,138.8,SPEAKER_01
139.44,139.92,SPEAKER_00
139.52,142.48,SPEAKER_01
142.72,143.76,SPEAKER_01
144.16,145.52,SPEAKER_01
145.84,147.68,SPEAKER_01
147.36,147.68,SPEAKER_00
147.84,149.76,SPEAKER_01
150.08,153.44,SPEAKER_01
150.08,151.12,SPEAKER_00
152.08,153.92,SPEAKER_00
154.48,155.76,SPEAKER_00
156.0,161.84,SPEAKER_00
162.16,162.8,SPEAKER_01
162.64,163.6,SPEAKER_00
163.52,164.88,SPEAKER_01
164.8,165.2,SPEAKER_00
165.52,165.92,SPEAKER_01
166.08,166.24,SPEAKER_00
166.24,166.64,SPEAKER_01
168.08,169.04,SPEAKER_01
169.52,172.48,SPEAKER_01
172.88,176.08,SPEAKER_01
177.68,178.32,SPEAKER_00
180.4,190.32,SPEAKER_00
190.88,201.12,SPEAKER_00
201.12,201.36,SPEAKER_01
201.36,204.08,SPEAKER_00
205.04,216.24,SPEAKER_00
214.08,214.4,SPEAKER_01
216.32,220.8,SPEAKER_00
220.64,221.12,SPEAKER_01
221.12,231.92,SPEAKER_00
232.16,235.2,SPEAKER_01
235.76,238.0,SPEAKER_01
238.56,240.24,SPEAKER_01
240.56,243.52,SPEAKER_01
244.16,245.84,SPEAKER_01
245.6,246.08,SPEAKER_00
246.48,249.76,SPEAKER_01
249.76,250.16,SPEAKER_00
250.24,256.64,SPEAKER_01
256.32,256.8,SPEAKER_00
257.04,260.24,SPEAKER_01
259.44,261.84,SPEAKER_00
261.04,261.28,SPEAKER_01
261.76,262.0,SPEAKER_01
262.0,270.48,SPEAKER_00
270.64,270.96,SPEAKER_01
271.04,282.64,SPEAKER_00
276.56,277.76,SPEAKER_01
285.52,287.44,SPEAKER_01
288.4,290.24,SPEAKER_01
290.64,293.36,SPEAKER_01
293.44,294.8,SPEAKER_01
294.96,295.68,SPEAKER_00
295.12,295.28,SPEAKER_01
296.08,296.8,SPEAKER_01
298.16,300.0,SPEAKER_01
300.24,301.68,SPEAKER_00
302.4,303.36,SPEAKER_00
304.08,307.36,SPEAKER_00
307.68,309.04,SPEAKER_00
309.92,310.8,SPEAKER_00
311.2,318.16,SPEAKER_00
318.24,318.48,SPEAKER_01
318.64,321.28,SPEAKER_00
322.72,325.44,SPEAKER_00
323.6,324.08,SPEAKER_01
326.72,328.56,SPEAKER_00
328.32,328.72,SPEAKER_01
329.12,331.04,SPEAKER_00
331.84,332.64,SPEAKER_00
332.96,333.28,SPEAKER_01
333.44,335.68,SPEAKER_00
335.84000000000003,336.48,SPEAKER_00
335.84000000000003,338.32,SPEAKER_01
339.36,355.36,SPEAKER_01
356.48,368.56,SPEAKER_01
368.24,374.56,SPEAKER_00
375.44,376.64,SPEAKER_00
377.2,378.08,SPEAKER_00
378.8,379.12,SPEAKER_00
379.6,390.15999999999997,SPEAKER_00
390.24,390.56,SPEAKER_01
390.24,392.0,SPEAKER_00
392.32,393.6,SPEAKER_00
393.84000000000003,403.6,SPEAKER_00
400.0,400.56,SPEAKER_01
403.92,406.08,SPEAKER_00
405.6,407.44,SPEAKER_01
408.24,408.88,SPEAKER_01
409.68,410.32,SPEAKER_01
411.2,411.6,SPEAKER_00
419.84000000000003,420.0,SPEAKER_00
420.0,422.4,SPEAKER_01
423.04,425.84000000000003,SPEAKER_01
426.32,429.52,SPEAKER_01
429.91999999999996,435.84000000000003,SPEAKER_00
430.4,433.03999999999996,SPEAKER_01
433.6,434.0,SPEAKER_01
435.84000000000003,436.32,SPEAKER_01
436.8,437.28,SPEAKER_00
437.68,439.44,SPEAKER_00
439.68,441.2,SPEAKER_01
440.4,444.56,SPEAKER_00
444.88,449.28,SPEAKER_01
450.4,473.12,SPEAKER_01
473.28,474.32,SPEAKER_01
475.68,480.56,SPEAKER_01
481.68,481.76,SPEAKER_00
486.08000000000004,486.8,SPEAKER_01
488.15999999999997,488.72,SPEAKER_00
492.72,496.88,SPEAKER_01
497.28,498.8,SPEAKER_01
499.36,504.0,SPEAKER_00
504.48,508.4,SPEAKER_00
509.03999999999996,509.36,SPEAKER_01
510.08000000000004,513.28,SPEAKER_00
514.72,516.4,SPEAKER_01
517.04,518.48,SPEAKER_00
519.6800000000001,520.08,SPEAKER_00
520.16,523.04,SPEAKER_00
524.88,536.4,SPEAKER_01
536.72,537.52,SPEAKER_00
537.84,543.92,SPEAKER_01
543.28,545.84,SPEAKER_00
546.24,547.04,SPEAKER_00
547.12,549.6800000000001,SPEAKER_01
548.48,555.12,SPEAKER_00
555.52,558.3199999999999,SPEAKER_00
558.1600000000001,562.8,SPEAKER_01
564.1600000000001,564.48,SPEAKER_00
565.44,567.2,SPEAKER_01
568.0799999999999,568.24,SPEAKER_00
570.56,571.6800000000001,SPEAKER_00
571.76,572.24,SPEAKER_01
575.12,576.4,SPEAKER_00
577.52,581.52,SPEAKER_00
582.1600000000001,584.88,SPEAKER_00
586.64,588.3199999999999,SPEAKER_01
588.8,595.9200000000001,SPEAKER_01
590.8,591.04,SPEAKER_00
596.48,598.48,SPEAKER_01
599.12,599.76,SPEAKER_01
609.76,611.52,SPEAKER_00
612.64,616.72,SPEAKER_00
619.04,619.68,SPEAKER_00
622.64,629.92,SPEAKER_00
630.64,650.8,SPEAKER_00
651.04,651.12,SPEAKER_00
651.2,671.6,SPEAKER_00
661.52,661.84,SPEAKER_01
671.6,698.16,SPEAKER_01
697.6,706.72,SPEAKER_00
706.72,709.76,SPEAKER_01
706.8,731.76,SPEAKER_00
732.56,776.72,SPEAKER_00
755.36,756.48,SPEAKER_01
776.96,812.3199999999999,SPEAKER_01
813.44,836.64,SPEAKER_01
837.12,855.6,SPEAKER_01
841.36,843.92,SPEAKER_00
