frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.00, 0.00, 1.17, 0.94, 0.00, 0.00, 1.49, 0.08, 0.00, 0.45, 0.51, 0.00, 0.45, 0.00, 0.42, 0.87, 1.89, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1, 1, 0.000, 0.98, 1, 0.00, 0.00, 1.37, 0.00, 0.49, 0.58, 1.37, 0.00, 0.00, 0.19, 1.62, 0.81, 0.04, 0.00, 0.00, 0.00, 0.00, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
2, 0, 0.042, 0.98, 1, 0.00, 0.00, 1.09, 0.61, 0.00, 0.00, 1.48, 0.16, 0.00, 0.74, 0.70, 0.00, 0.39, 0.00, 0.78, 0.70, 2.25, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
2, 1, 0.042, 0.98, 1, 0.00, 0.00, 1.33, 0.00, 0.49, 0.89, 1.41, 0.00, 0.00, 0.37, 1.69, 0.76, 0.29, 0.07, 0.00, 0.00, 0.06, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
3, 0, 0.083, 0.98, 1, 0.00, 0.00, 1.12, 0.87, 0.00, 0.00, 1.28, 0.04, 0.20, 0.81, 0.70, 0.00, 0.55, 0.00, 0.83, 0.69, 2.26, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
3, 1, 0.083, 0.98, 1, 0.00, 0.00, 1.51, 0.00, 0.66, 1.11, 1.47, 0.00, 0.00, 0.44, 1.69, 0.70, 0.32, 0.00, 0.00, 0.00, 0.45, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
4, 0, 0.125, 0.98, 1, 0.00, 0.00, 1.25, 0.75, 0.00, 0.00, 1.21, 0.53, 0.84, 1.39, 0.57, 0.00, 0.68, 0.00, 0.95, 0.84, 2.09, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
4, 1, 0.125, 0.98, 1, 0.00, 0.00, 1.26, 0.00, 0.23, 0.00, 1.14, 0.00, 0.00, 0.07, 1.63, 0.98, 0.49, 0.03, 0.00, 0.14, 1.65, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0
5, 0, 0.167, 0.98, 1, 0.00, 0.00, 1.01, 0.48, 0.13, 0.00, 1.11, 0.48, 1.24, 1.87, 0.32, 0.00, 0.97, 0.00, 0.97, 0.79, 2.07, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
5, 1, 0.167, 0.98, 1, 0.00, 0.00, 1.27, 0.00, 0.18, 0.00, 1.19, 0.00, 0.00, 0.01, 1.54, 0.99, 0.48, 0.01, 0.00, 0.08, 1.92, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0
