frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
176, 1, 7.299, 0.98, 1, 0.72, 0.84, 0.00, 1.57, 0.24, 0.00, 0.00, 1.08, 0.63, 0.00, 0.56, 0.07, 0.83, 0.00, 2.12, 0.57, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
177, 0, 7.341, 0.98, 1, 0.04, 0.00, 0.53, 1.77, 1.35, 0.00, 0.00, 1.87, 3.16, 1.74, 0.00, 0.00, 0.00, 0.00, 1.31, 0.50, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
177, 1, 7.341, 0.98, 1, 0.62, 0.82, 0.00, 1.49, 0.19, 0.00, 0.00, 0.99, 0.66, 0.02, 0.57, 0.13, 0.76, 0.00, 2.04, 0.64, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
178, 0, 7.382, 0.98, 1, 0.00, 0.00, 0.40, 1.76, 1.37, 0.00, 0.00, 1.93, 3.13, 1.84, 0.00, 0.00, 0.00, 0.00, 1.26, 0.43, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
178, 1, 7.382, 0.98, 1, 0.58, 0.67, 0.00, 1.43, 0.11, 0.00, 0.00, 1.10, 0.59, 0.08, 0.50, 0.01, 0.88, 0.00, 2.05, 0.61, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
179, 0, 7.424, 0.98, 1, 0.00, 0.00, 0.55, 1.74, 1.49, 0.00, 0.00, 1.92, 3.00, 1.60, 0.00, 0.00, 0.00, 0.00, 1.21, 0.07, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
179, 1, 7.424, 0.98, 1, 0.53, 0.67, 0.00, 1.60, 0.14, 0.00, 0.00, 0.96, 0.58, 0.00, 0.53, 0.00, 0.78, 0.00, 2.13, 0.54, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
180, 0, 7.466, 0.98, 1, 0.00, 0.00, 0.41, 1.46, 1.46, 0.00, 0.00, 1.93, 3.05, 1.74, 0.00, 0.00, 0.00, 0.00, 1.23, 0.25, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
180, 1, 7.466, 0.98, 1, 0.84, 0.78, 0.00, 1.16, 0.11, 0.00, 0.00, 1.07, 0.57, 0.00, 0.35, 0.00, 0.59, 0.00, 2.43, 0.99, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
181, 0, 7.508, 0.98, 1, 0.00, 0.00, 0.46, 1.81, 1.45, 0.00, 0.00, 2.09, 3.12, 1.79, 0.00, 0.00, 0.00, 0.00, 1.26, 0.34, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
181, 1, 7.508, 0.98, 1, 0.53, 0.80, 0.00, 0.36, 0.14, 0.59, 0.09, 1.35, 0.49, 0.00, 0.17, 0.00, 0.42, 0.00, 2.63, 1.24, 0.33, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0
182, 0, 7.549, 0.98, 1, 0.00, 0.00, 0.45, 1.59, 1.55, 0.00, 0.00, 2.08, 3.10, 1.68, 0.00, 0.00, 0.00, 0.00, 1.29, 0.32, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
